"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"17272","SETFGOLD","SBI Gold ETF","EQ","1.0000","1","ETF","E","NSE","73.5600","49.0400","","","1630957"
"7880","AUTOBEES","NIPPONAMC - NETFAUTO","EQ","1.0000","1","ETF","E","NSE","307.4200","204.9500","","","291111"
"543452","SILVERIETF","ICICI Prudential Silver ETF","E","1.0000","1","ETF","E","BSE","98.6000","65.7300","","","-1"
"7942","SILVERIETF","ICICI Prudential Silver ETF","EQ","1.0000","1","ETF","E","NSE","98.6000","65.7300","","","1216869"
"7979","MAKEINDIA","MIRAEAMC - MAMFGETF","EQ","1.0000","1","ETF","E","NSE","176.7300","117.8200","","","464184"
"8003","SILVER","BIRLASLAMC - SILVER","EQ","1.0000","1","ETF","E","NSE","98.6500","65.7600","","","1216395"
"8077","MIDCAP","KOTAKMAMC - KOTAKMID50","EQ","1.0000","1","ETF","E","NSE","193.8200","129.2100","","","67242"
"8080","SILVERBEES","NIPPONAMC - NETFSILVER","EQ","1.0000","1","ETF","E","NSE","95.1000","63.4000","","","1261514"
"543471","SILVER","Aditya Birla Sun Life Mut","E","1.0000","1","ETF","E","BSE","98.6500","65.7600","","","-1"
"8342","GSEC5IETF","ICICIPRAMC - ICICI5GSEC","EQ","1.0000","1","ETF","E","NSE","68.8300","45.8800","","","448279"
"8413","MIDCAPETF","Mirae Nifty Midcap 150 ETF","EQ","1.0000","1","ETF","E","NSE","25.3900","16.9200","","","4725540"
"8632","LOWVOL1","KOTAKMAMC - KOTAKLOVOL","EQ","1.0000","1","ETF","E","NSE","24.4500","16.3000","","","2197723"
"8882","TNIDETF","TATAAML - TNIDETF","EQ","1.0000","1","ETF","E","NSE","110.6500","73.7600","","","369829"
"10512","CONS","KOTAKMAMC - KOTAKCONS","EQ","1.0000","1","ETF","E","NSE","141.6900","94.4600","","","6222"
"10508","MOHEALTH","MOTILALAMC - MOHEALTH","EQ","1.0000","1","ETF","E","NSE","49.3800","32.9200","","","119862"
"10585","MOM30IETF","ICICIPRAMC - ICICIMOM30","EQ","1.0000","1","ETF","E","NSE","42.9600","28.6400","","","2585285"
"8654","MOLOWVOL","MOTILALAMC - MOLOWVOL","EQ","1.0000","1","ETF","E","NSE","45.3700","30.2400","","","650375"
"8182","MOMOMENTUM","MOTILALAMC - MOMOMENTUM","EQ","1.0000","1","ETF","E","NSE","85.5000","57.0000","","","471860"
"10676","MNC","KOTAKMAMC - KOTAKMNC","EQ","1.0000","1","ETF","E","NSE","36.5800","24.3900","","","245428"
"10690","NIFTYQLITY","BIRLASLAMC - NIFTYQLITY","EQ","1.0000","1","ETF","E","NSE","26.6200","17.7500","","","666956"
"10693","MOMENTUM","BIRLASLAMC - MOMENTUM","EQ","1.0000","1","ETF","E","NSE","42.6800","28.4500","","","610662"
"10723","INFRAIETF","ICICIPRAMC - ICICIINFRA","EQ","1.0000","1","ETF","E","NSE","110.7600","73.8400","","","457507"
"543572","SILVERADD","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","95.4100","63.6000","","","-1"
"10761","SILVERADD","DSPAMC - DSPSILVETF","EQ","1.0000","1","ETF","E","NSE","95.4100","63.6000","","","697228"
"10822","MOQUALITY","MOTILALAMC - MOQUALITY","EQ","1.0000","1","ETF","E","NSE","250.4800","166.9900","","","28627"
"10825","MOVALUE","MOTILALAMC - MOVALUE","EQ","1.0000","1","ETF","E","NSE","124.7800","83.1900","","","356988"
"11037","BANKIETF","ICICI Prudential Banking ETF","EQ","1.0000","1","ETF","E","NSE","60.6900","40.4600","","","1976608"
"22365","ITIETF","ICICI Prudential IT ETF","EQ","1.0000","1","ETF","E","NSE","50.9100","33.9400","","","2356745"
"10876","HDFCSILVER","HDFCAMC - HDFCSILVER","EQ","1.0000","1","ETF","E","NSE","95.1600","63.4400","","","1035322"
"543592","HDFCSILVER","HDFC Mutual Fund","E","1.0000","1","ETF","E","BSE","95.1600","63.4400","","","-1"
"11193","AXISILVER","AXISAMC - AXISILVER","EQ","1.0000","1","ETF","E","NSE","98.4700","65.6400","","","474700"
"11241","HDFCGROWTH","HDFCAMC - HDFCGROWTH","EQ","1.0000","1","ETF","E","NSE","149.0500","99.3600","","","32173"
"11260","HDFCVALUE","HDFCAMC - HDFCVALUE","EQ","1.0000","1","ETF","E","NSE","168.4900","112.3200","","","72960"
"11255","HDFCQUAL","HDFCAMC - HDFCQUAL","EQ","1.0000","1","ETF","E","NSE","71.1800","47.4500","","","72326"
"12578","FINIETF","ICICIPRAMC-ICICIFIN","EQ","1.0000","1","ETF","E","NSE","29.6600","19.7700","","","1136787"
"13082","SILVER1","KOTAKMAMC - KOTAKSILVE","EQ","1.0000","1","ETF","E","NSE","96.0300","64.0200","","","1249495"
"13139","EBBETF0433","EDELAMC - EBBETF0433","EQ","1.0000","1","ETF","E","NSE","1367.6800","911.7900","","","87700"
"13143","GSEC10IETF","ICICIPRAMC - ICICI10GS","EQ","1.0000","1","ETF","E","NSE","283.2200","188.8100","","","423680"
"13198","COMMOIETF","ICICIPRAMC - ICICICOMMO","EQ","1.0000","1","ETF","E","NSE","109.4100","72.9400","","","131313"
"13644","BANKETFADD","DSPAMC - DSPBANKETF","EQ","1.0000","1","ETF","E","NSE","60.5200","40.3500","","","1982517"
"13950","LIQUID1","KOTAKMAMC - KOTAKLIQ","EQ","1.0000","1","ETF","E","NSE","1203.6300","802.4200","","","43236"
"14230","HDFCBSE500","HDFCAMC - HDFCBSE500","EQ","1.0000","1","ETF","E","NSE","43.5300","29.0200","","","136469"
"14233","HDFCSML250","HDFCAMC - HDFCSML250","EQ","1.0000","1","ETF","E","NSE","205.9600","137.3100","","","582614"
"14286","GOLDETF","MIRAEAMC - MAGOLDETF","EQ","1.0000","1","ETF","E","NSE","83.8000","55.8700","","","1431820"
"543781","GOLDETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","83.8000","55.8700","","","-1"
"14518","ABSLLIQUID","BIRLASLAMC - ABSLLIQUID","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","13994"
"14584","PSUBNKIETF","ICICIPRAMC - PSUBANKICI","EQ","1.0000","1","ETF","E","NSE","82.1000","54.7300","","","320015"
"14742","AXSENSEX","AXISAMC - AXSENSEX","EQ","1.0000","1","ETF","E","NSE","96.4500","64.3000","","","514705"
"14786","LOWVOL","MIRAEAMC - MANV30F","EQ","1.0000","1","ETF","E","NSE","240.2600","160.1700","","","17764"
"14938","GSEC10YEAR","MIRAEAMC - MAGS813ETF","EQ","1.0000","1","ETF","E","NSE","32.1100","21.4000","","","1035384"
"15085","SILVERETF","UTIAMC - SILVERETF","EQ","1.0000","1","ETF","E","NSE","96.0800","64.0500","","","428142"
"543900","SILVERETF","UTI Mutual Fund","E","1.0000","1","ETF","E","BSE","96.0800","64.0500","","","-1"
"15356","GOLDETFADD","DSPAMC - DSPGOLDETF","EQ","1.0000","1","ETF","E","NSE","83.7400","55.8300","","","1432810"
